Street Pair,Distance (km),Time (minutes),Weight
 Berryessa Rd - Bay Trl,15.257926798910196,11.443445099182647,2.002602892356963e-06
 Berryessa Rd - Bayshore Fwy N,11.019892154258477,8.264919115693857,0.0001445286405761385
 Berryessa Rd - Bayshore Fwy S,11.019892154258477,8.264919115693857,0.0002479723682281628
 Berryessa Rd - Bernal Rd,18.76798163860351,14.075986228952631,5.757078367641627e-06
 Berryessa Rd - Berryessa Rd,0.0,0.0,0.0
 Berryessa Rd - Bird Ave,6.270156463705332,4.7026173477789985,4.290668068113558e-05
 Berryessa Rd - Blossom Hill Rd,14.704559870330916,11.028419902748187,4.510623740224009e-06
 Berryessa Rd - Bonita Ave,3.797899793904005,2.8484248454280037,9.997971207452294e-07
 Berryessa Rd - CA-17 N,9.939197580239078,7.454398185179309,2.5725128137053795e-05
 Berryessa Rd - CA-17 S,10.382097556518241,7.786573167388681,1.5487494029936086e-05
 Berryessa Rd - CA-237,8.296044729682832,6.222033547262124,2.1839337750890056e-06
 Berryessa Rd - CA-237 E,8.296044729682832,6.222033547262124,8.735735100356022e-06
 Berryessa Rd - CA-237 W,8.708751150141515,6.5315633626061365,1.2991279528223605e-05
 Berryessa Rd - CA-85,14.681148737741903,11.010861553306427,2.576541603473704e-06
 Berryessa Rd - CA-85 N,17.14115354108835,12.855865155816263,2.5570315794918546e-05
 Berryessa Rd - CA-85 S,17.14678517455912,12.86008888091934,8.047843621679323e-05
 Berryessa Rd - CA-87 N,11.36471374437405,8.523535308280538,1.04669013585685e-05
 Berryessa Rd - CA-87 S,4.342206528071187,3.2566548960533903,2.6672003598677266e-06
 Berryessa Rd - Capitol Expressway Auto Mall,11.094835053763841,8.32112629032288,1.456197100806504e-06
 Berryessa Rd - Charles Cali Dr,9.551468785668366,7.163601589251274,1.2536302781189729e-06
 Berryessa Rd - Coleman Ave,5.517574871813665,4.138181153860248,2.9050031700098946e-06
 Berryessa Rd - Coyote Rd,12.620893106169442,9.465669829627082,3.871458960317477e-06
 Berryessa Rd - Curtner Ave,11.93224472937648,8.94918354703236,2.0941089500055723e-06
 Berryessa Rd - Davis St,6.748715190358007,5.061536392768506,7.992165964181472e-06
 Berryessa Rd - De la Cruz Blvd,6.083233630352775,4.562425222764582,1.0676075021269123e-06
 Berryessa Rd - Delmas Ave,6.696756872672027,5.02256765450402,8.789493395382035e-07
 Berryessa Rd - Dipper Cir,1.777673166694182,1.3332548750206366,2.3331960312861138e-07
 Berryessa Rd - Drake St,6.42840529211451,4.821303969085882,2.536005887739174e-06
 Berryessa Rd - Duane St,5.75409321195175,4.315569908963813,7.552247340686672e-07
 Berryessa Rd - E Brokaw Rd,2.6739943229351746,2.005495742201381,1.3370640113256607e-05
 Berryessa Rd - E Capitol Expy,7.8261828642295885,5.869637148172191,1.132839969597233e-05
 Berryessa Rd - E Gish Rd,2.3582671070754406,1.7687003303065805,2.483255263750439e-06
 Berryessa Rd - E Reed St,5.0054310512957505,3.7540732884718127,1.3176797242536064e-06
 Berryessa Rd - E Saint James St,2.3951568218139596,1.7963676163604698,3.143643328630822e-07
 Berryessa Rd - Felipe Ave,4.761008135098281,3.570756101323711,2.506670783129245e-06
 Berryessa Rd - Foss Ave,3.3070900593529746,2.480317544514731,4.340555702900779e-07
 Berryessa Rd - Grant St,5.87797019517883,4.408477646384123,9.279845445638579e-06
 Berryessa Rd - Guadalupe Fwy N,10.011698070694145,7.508773553020608,1.976309199155024e-05
 Berryessa Rd - Guadalupe Fwy S,10.011698070694145,7.508773553020608,1.3613406451626362e-05
 Berryessa Rd - Guadalupe Pkwy,10.011698070694145,7.508773553020608,4.3926325285170555e-06
 Berryessa Rd - Guadalupe Pkwy N,10.011698070694145,7.508773553020608,0.00014491932957329774
 Berryessa Rd - Guadalupe Pkwy S,10.011698070694145,7.508773553020608,9.529384516138453e-05
 Berryessa Rd - Guadalupe River Trl,8.29753824853658,6.223153686402434,1.089051895120426e-06
 Berryessa Rd - Hamline St,5.2624927973556925,3.9468695980167694,6.907021796529346e-07
 Berryessa Rd - Hellyer Ave,11.728476320551879,8.79635724041391,1.5393625170724341e-06
 Berryessa Rd - Herald Ave,4.258790932710966,3.1940931995332242,1.680093022954476e-06
 Berryessa Rd - Highway 87 Bikeway,10.087859690106155,7.565894767579617,2.6556290634204457e-06
 Berryessa Rd - Hostetter Rd,1.9132102687244166,1.4349077015433125,2.014610412966811e-06
 Berryessa Rd - I 280,8.693528285842183,6.520146214381636,1.1410255875167864e-06
 Berryessa Rd - I-280,8.693528285842183,6.520146214381636,4.957267166794358e-05
 Berryessa Rd - I-280 N,8.693528285842183,6.520146214381636,0.00048314935463189367
 Berryessa Rd - I-280 S,8.60014548196646,6.450109111474845,0.0011637867368742946
 Berryessa Rd - I-680,3.9936160857985126,2.9952120643488844,1.1387796268654458e-05
 Berryessa Rd - I-680 N,3.9936160857985126,2.9952120643488844,0.0002995541537675963
 Berryessa Rd - I-680 S,3.545254610254908,2.658940957691181,0.0002475713336296682
 Berryessa Rd - I-880,7.85653348274137,5.892400112056028,7.822750388765583e-05
 Berryessa Rd - I-880 N,7.85653348274137,5.892400112056028,0.001593187142297709
 Berryessa Rd - I-880 S,7.201777685224705,5.401333263918529,0.0007208889440688865
 Berryessa Rd - Junipero Serra Fwy N,8.693528285842183,6.520146214381636,0.0001830400646763357
 Berryessa Rd - Junipero Serra Ln,11.643946026130848,8.732959519598136,9.195806374136837e-06
 Berryessa Rd - Lapa Dr,12.460615881652007,9.345461911239004,1.6354558344668256e-06
 Berryessa Rd - Lawrence Expy,14.454369541058488,10.840777155793868,9.507361565631223e-06
 Berryessa Rd - Lincoln Ave,7.049073311528127,5.286804983646095,9.251908721380667e-07
 Berryessa Rd - Lori Anne Ln,5.811836528292452,4.358877396219339,7.628035443383842e-07
 Berryessa Rd - Lower Guadalupe River Trl,8.29753824853658,6.223153686402434,1.089051895120426e-06
 Berryessa Rd - MacArthur Ave,8.36964381715117,6.277232862863378,3.301824485866137e-06
 Berryessa Rd - Matrix Blvd,3.792922154619035,2.844691615964276,6.656578381356407e-07
 Berryessa Rd - McCreery Ave,4.46095006082233,3.345712545616747,1.1743451035114783e-06
 Berryessa Rd - McCreery Ct,4.187485265680713,3.1406139492605343,1.1023554961904475e-06
 Berryessa Rd - McKee Rd,4.480750345179582,3.3605627588846865,5.880984828048201e-07
 Berryessa Rd - McKendrie St,5.165227965815833,3.8739209743618748,2.7194925240020362e-06
 Berryessa Rd - McLaughlin Ave,4.4567874866702875,3.3425906150027154,2.4046596884329536e-05
